id,order_id,order_date,region,state,city,category,product,brand,customer_name,quantity,sales_amount,cost_amount,profit,payment_mode
26,ORD0005626,2026-06-29,West,Karnataka,"New Delhi","Home Appliances",Mobile,Sony,Customer_46352,5,90631,51964,20930,Cash
27,ORD0005627,2026-03-04,East,Delhi,Hyderabad,"Home Appliances",Earbuds,HP,Customer_26298,4,96415,54366,31809,Cash
28,ORD0005628,2026-01-22,West,Karnataka,Bangalore,Electronics,Earbuds,Apple,Customer_26597,3,31858,20681,-44288,Cash
29,ORD0005629,2026-03-29,East,Karnataka,Hyderabad,"Home Appliances",Tablet,HP,Customer_22756,1,59530,72296,-7414,Cash
30,ORD0005630,2026-05-14,North,Maharashtra,Mumbai,"Office Devices",AC,Samsung,Customer_39521,5,47334,67839,20303,Cash
31,ORD0005631,2026-05-26,West,Telangana,Pune,"Home Appliances",Printer,HP,Customer_47279,4,98557,52116,-36014,UPI
32,ORD0005632,2026-01-27,East,Delhi,"New Delhi",Accessories,"Smart TV",Sony,Customer_33314,2,94856,46066,46205,Card
33,ORD0005633,2026-01-18,South,Maharashtra,"New Delhi","Home Appliances",Earbuds,Samsung,Customer_35379,4,38740,24423,-44890,Card
34,ORD0005634,2026-03-27,South,Maharashtra,Warangal,"Home Appliances",Earbuds,HP,Customer_46497,3,23884,47382,40508,Cash
35,ORD0005635,2026-06-12,North,Delhi,Mumbai,"Office Devices","Smart TV",Sony,Customer_3327,4,39412,23873,-30909,Cash
36,ORD0005636,2026-03-01,West,Delhi,Bangalore,"Home Appliances",Earbuds,Apple,Customer_31053,5,55392,52718,58633,Card
37,ORD0005637,2026-01-06,West,Delhi,Mumbai,"Home Appliances","Smart TV",HP,Customer_42118,2,98519,15137,-9324,Card
38,ORD0005638,2026-02-08,West,Telangana,Hyderabad,"Home Appliances","Smart TV",Apple,Customer_40610,3,99228,44736,42682,UPI
39,ORD0005639,2026-03-22,South,Telangana,Bangalore,"Office Devices",AC,Sony,Customer_7717,3,75475,25399,43221,UPI
40,ORD0005640,2026-02-15,South,Telangana,Bangalore,"Home Appliances",Tablet,HP,Customer_33358,2,24348,53294,-6308,Cash
41,ORD0005641,2026-04-09,West,Karnataka,Bangalore,"Office Devices",Tablet,Samsung,Customer_30814,1,72921,15080,365,Card
42,ORD0005642,2026-01-04,West,Karnataka,"New Delhi","Home Appliances",Mobile,Sony,Customer_34844,5,67358,24018,57423,Cash
43,ORD0005643,2026-05-18,South,Maharashtra,Pune,Electronics,"Smart TV",Apple,Customer_10351,4,94182,45443,50202,Cash
44,ORD0005644,2026-02-14,South,Karnataka,Pune,Accessories,Earbuds,HP,Customer_1458,3,42783,15033,-27553,Cash
45,ORD0005645,2026-01-12,West,Maharashtra,Hyderabad,"Office Devices",Printer,Sony,Customer_16771,2,76748,46043,-2829,Card
46,ORD0005646,2026-03-22,South,Delhi,Mumbai,"Office Devices","Power Bank",Sony,Customer_44525,1,37433,48354,-42613,Card
47,ORD0005647,2026-02-16,South,Karnataka,Mumbai,Accessories,AC,Apple,Customer_25232,3,70899,68465,45122,Card
48,ORD0005648,2026-01-23,West,Delhi,Bangalore,"Home Appliances",Earbuds,HP,Customer_5049,2,29307,58807,10074,UPI
49,ORD0005649,2026-03-25,North,Delhi,Warangal,Accessories,Earbuds,HP,Customer_10925,2,24271,29494,-22017,Card
50,ORD0005650,2026-04-17,West,Maharashtra,Warangal,Electronics,"Smart TV",Apple,Customer_46394,3,60537,24562,-27185,UPI
51,ORD0005651,2026-05-19,West,Karnataka,Warangal,Electronics,Printer,Sony,Customer_44579,5,59561,73259,-21935,Card
52,ORD0005652,2026-02-06,South,Karnataka,Warangal,Electronics,Laptop,HP,Customer_24274,4,28123,37373,8953,UPI
53,ORD0005653,2026-04-14,West,Delhi,Warangal,Electronics,"Power Bank",Sony,Customer_523,1,59071,22805,-12340,Cash
54,ORD0005654,2026-01-03,West,Karnataka,Hyderabad,Electronics,AC,Sony,Customer_3047,5,46223,70954,23374,UPI
55,ORD0005655,2026-01-01,South,Maharashtra,Warangal,Accessories,Tablet,Samsung,Customer_21604,3,78555,41567,-39280,UPI
56,ORD0005656,2026-03-31,South,Maharashtra,Hyderabad,Electronics,Printer,Apple,Customer_47035,3,34793,58220,4332,Cash
57,ORD0005657,2026-06-15,East,Delhi,Hyderabad,Accessories,AC,Samsung,Customer_36541,4,40984,29319,18561,Card
58,ORD0005658,2026-06-03,South,Karnataka,Bangalore,"Office Devices",AC,Sony,Customer_45336,4,91764,33895,47330,UPI
59,ORD0005659,2026-01-26,West,Karnataka,Mumbai,Electronics,Mobile,HP,Customer_2589,4,46910,50209,27132,Card
60,ORD0005660,2026-01-26,South,Delhi,Mumbai,Accessories,AC,Samsung,Customer_953,5,83276,17753,64812,Cash
61,ORD0005661,2026-03-04,North,Karnataka,Pune,Accessories,Earbuds,Apple,Customer_1379,4,98053,17595,9139,UPI
62,ORD0005662,2026-04-24,East,Telangana,Pune,Accessories,AC,Sony,Customer_23908,4,57618,15497,47717,UPI
63,ORD0005663,2026-03-10,West,Telangana,Bangalore,Electronics,"Power Bank",Samsung,Customer_37310,3,69819,38812,-9118,Card
64,ORD0005664,2026-06-01,North,Karnataka,Bangalore,Accessories,"Power Bank",Samsung,Customer_17484,5,23737,61568,41788,Card
65,ORD0005665,2026-01-23,West,Telangana,Hyderabad,Electronics,"Power Bank",Sony,Customer_32813,3,43741,22468,46347,Cash
66,ORD0005666,2026-03-01,East,Maharashtra,"New Delhi","Office Devices",Mobile,Apple,Customer_45112,2,65072,18295,6313,Cash
67,ORD0005667,2026-06-11,North,Telangana,"New Delhi","Home Appliances","Smart TV",Apple,Customer_34268,5,70903,36961,48208,UPI
68,ORD0005668,2026-03-07,North,Karnataka,Hyderabad,Accessories,AC,Samsung,Customer_46852,4,60706,48131,-7185,UPI
69,ORD0005669,2026-05-30,West,Telangana,Warangal,Accessories,Printer,Apple,Customer_35663,5,98090,39665,-8953,Card
70,ORD0005670,2026-06-18,East,Telangana,Pune,Electronics,Laptop,HP,Customer_20162,5,63855,68173,51479,Cash
71,ORD0005671,2026-02-11,South,Delhi,Bangalore,"Home Appliances",Tablet,Sony,Customer_9140,2,40857,28088,-23607,Card
72,ORD0005672,2026-06-14,South,Karnataka,Pune,"Office Devices","Power Bank",Sony,Customer_44756,1,87899,70392,-24191,UPI
73,ORD0005673,2026-05-07,North,Telangana,Mumbai,"Office Devices",Laptop,Samsung,Customer_10449,4,77276,49441,9425,Cash
74,ORD0005674,2026-05-12,East,Delhi,Warangal,"Office Devices",Earbuds,Samsung,Customer_47499,4,89339,21221,61650,Card
75,ORD0005675,2026-03-12,South,Delhi,Mumbai,Accessories,"Smart TV",Samsung,Customer_16248,3,96283,15640,-35476,Cash
76,ORD0005676,2026-04-19,East,Telangana,Hyderabad,Electronics,"Smart TV",HP,Customer_22489,1,75619,41966,-9627,UPI
77,ORD0005677,2026-05-02,East,Maharashtra,Warangal,Electronics,Earbuds,Sony,Customer_5350,2,94772,70193,55575,UPI
78,ORD0005678,2026-06-04,South,Karnataka,Hyderabad,"Home Appliances",Mobile,HP,Customer_22239,3,31304,28267,14830,UPI
79,ORD0005679,2026-01-30,East,Karnataka,Warangal,Electronics,"Smart TV",HP,Customer_14059,5,41173,66504,-10053,Cash
80,ORD0005680,2026-04-29,South,Karnataka,Bangalore,Electronics,Mobile,HP,Customer_1033,3,69662,44653,20030,UPI
81,ORD0005681,2026-02-08,South,Telangana,"New Delhi","Home Appliances",Earbuds,Samsung,Customer_26355,5,82196,31320,-12131,Card
82,ORD0005682,2026-05-03,East,Delhi,Pune,"Home Appliances",Earbuds,Apple,Customer_47680,2,69183,26316,-42749,Card
83,ORD0005683,2026-06-15,West,Telangana,Hyderabad,"Office Devices","Power Bank",Apple,Customer_7495,4,90784,40400,39496,UPI
84,ORD0005684,2026-06-25,North,Telangana,"New Delhi","Office Devices",Printer,Apple,Customer_15009,1,38516,19683,45952,Cash
85,ORD0005685,2026-06-22,North,Telangana,Warangal,"Home Appliances",Earbuds,HP,Customer_27951,5,88656,49190,-12842,Card
86,ORD0005686,2026-03-28,East,Telangana,Warangal,"Office Devices","Power Bank",Apple,Customer_30936,3,23665,44275,26351,Cash
87,ORD0005687,2026-04-01,West,Telangana,Hyderabad,"Home Appliances",Earbuds,Sony,Customer_26052,5,49314,67463,-17595,UPI
88,ORD0005688,2026-02-04,North,Telangana,Hyderabad,Accessories,Tablet,Samsung,Customer_33725,5,48066,22772,17368,Cash
89,ORD0005689,2026-06-29,West,Maharashtra,"New Delhi",Accessories,Mobile,Samsung,Customer_49659,3,51611,48052,38983,Cash
90,ORD0005690,2026-05-06,West,Karnataka,Bangalore,"Home Appliances",Laptop,Sony,Customer_36807,4,66969,54495,6908,UPI
91,ORD0005691,2026-06-11,South,Delhi,Mumbai,"Office Devices",Tablet,HP,Customer_42813,1,96490,42941,-12386,Cash
92,ORD0005692,2026-06-24,North,Karnataka,Hyderabad,"Home Appliances","Smart TV",Sony,Customer_38038,2,98790,24845,24063,Card
93,ORD0005693,2026-03-17,North,Karnataka,Bangalore,"Home Appliances",AC,HP,Customer_42521,4,80117,61539,7362,Cash
94,ORD0005694,2026-01-14,South,Karnataka,Bangalore,Accessories,Mobile,Sony,Customer_43846,4,68102,19030,20050,UPI
95,ORD0005695,2026-01-20,North,Delhi,Bangalore,Accessories,Laptop,Apple,Customer_28235,3,60191,26641,-1920,Cash
96,ORD0005696,2026-02-01,South,Maharashtra,Bangalore,Accessories,"Smart TV",HP,Customer_44866,4,54860,33126,14662,UPI
97,ORD0005697,2026-03-08,South,Telangana,Hyderabad,"Home Appliances",Earbuds,Sony,Customer_9545,1,70842,18161,-4033,Cash
98,ORD0005698,2026-03-18,East,Karnataka,Pune,Accessories,Laptop,Apple,Customer_23634,1,79695,52945,35652,UPI
99,ORD0005699,2026-06-29,North,Karnataka,Warangal,Accessories,Earbuds,Apple,Customer_19937,5,51258,27086,37552,Card
100,ORD0005700,2026-01-06,South,Karnataka,Hyderabad,"Office Devices","Power Bank",Samsung,Customer_31174,1,96509,32144,-6678,Cash
101,ORD0005701,2026-02-24,North,Karnataka,Hyderabad,"Home Appliances",Tablet,HP,Customer_35995,5,55994,44030,-43183,Cash
102,ORD0005702,2026-04-30,West,Maharashtra,Hyderabad,"Office Devices",Earbuds,Sony,Customer_9636,5,48859,65421,9966,Cash
103,ORD0005703,2026-06-10,North,Karnataka,Bangalore,Electronics,Tablet,Apple,Customer_10589,5,33503,72690,-8174,Cash
104,ORD0005704,2026-01-27,South,Telangana,Pune,Electronics,Earbuds,Apple,Customer_20390,1,83278,71776,-23528,UPI
105,ORD0005705,2026-04-18,East,Delhi,Bangalore,"Home Appliances",Tablet,Sony,Customer_596,4,62430,45730,63849,Card
106,ORD0005706,2026-02-27,West,Karnataka,Pune,"Office Devices","Power Bank",Sony,Customer_11085,3,95511,24244,66222,Card
107,ORD0005707,2026-01-02,South,Telangana,Hyderabad,"Home Appliances",Printer,Apple,Customer_37493,4,26775,40371,71864,Card
108,ORD0005708,2026-05-27,North,Telangana,"New Delhi","Home Appliances","Power Bank",Samsung,Customer_17422,2,68067,15990,6372,UPI
109,ORD0005709,2026-04-02,East,Maharashtra,Bangalore,"Home Appliances","Smart TV",Samsung,Customer_40489,4,26604,33336,-1677,Card
110,ORD0005710,2026-03-26,West,Maharashtra,"New Delhi","Home Appliances",Mobile,Samsung,Customer_43857,3,32855,22691,-6874,Card
111,ORD0005711,2026-04-24,North,Karnataka,Bangalore,"Office Devices","Smart TV",Apple,Customer_26256,1,30424,28685,61149,Cash
112,ORD0005712,2026-01-29,West,Karnataka,Bangalore,Electronics,"Smart TV",Sony,Customer_1439,4,31998,63487,20520,UPI
113,ORD0005713,2026-05-20,North,Delhi,Hyderabad,Accessories,"Smart TV",Samsung,Customer_49805,1,97507,31193,16137,UPI
114,ORD0005714,2026-02-17,South,Karnataka,Bangalore,"Office Devices",Laptop,HP,Customer_4137,2,66617,63900,19785,UPI
115,ORD0005715,2026-02-17,North,Karnataka,Bangalore,"Home Appliances","Smart TV",Apple,Customer_16426,2,45452,63513,11107,UPI
116,ORD0005716,2026-01-05,West,Karnataka,"New Delhi","Home Appliances",Tablet,Apple,Customer_45605,1,26083,68569,-6202,UPI
117,ORD0005717,2026-03-30,South,Delhi,"New Delhi","Home Appliances",Tablet,Sony,Customer_11733,4,99178,58944,44402,Cash
118,ORD0005718,2026-03-29,West,Delhi,Warangal,"Home Appliances",AC,Sony,Customer_31057,3,60924,22966,466,UPI
119,ORD0005719,2026-04-03,South,Maharashtra,"New Delhi","Office Devices","Smart TV",Apple,Customer_36536,1,59692,19067,70100,UPI
120,ORD0005720,2026-02-27,West,Maharashtra,Pune,Accessories,Earbuds,HP,Customer_4363,2,98751,25456,74368,Card
121,ORD0005721,2026-05-11,East,Telangana,Bangalore,"Office Devices",Tablet,Samsung,Customer_24415,3,98722,42047,19729,UPI
122,ORD0005722,2026-06-16,East,Telangana,Warangal,Electronics,Tablet,HP,Customer_31673,1,63432,41911,10665,UPI
123,ORD0005723,2026-05-11,North,Telangana,Bangalore,"Home Appliances",Tablet,Sony,Customer_19676,2,44664,53890,-7843,Cash
124,ORD0005724,2026-02-12,West,Delhi,Pune,Electronics,Mobile,HP,Customer_5816,5,55662,36121,35345,Cash
125,ORD0005725,2026-06-18,West,Telangana,Bangalore,"Office Devices",Tablet,Apple,Customer_28868,3,98306,31056,24829,UPI
126,ORD0005726,2026-03-29,East,Karnataka,Warangal,"Home Appliances",Earbuds,Sony,Customer_48559,5,95113,61985,4243,Card
127,ORD0005727,2026-05-05,South,Delhi,"New Delhi",Electronics,AC,Sony,Customer_47092,3,34103,55823,55393,Cash
128,ORD0005728,2026-01-07,South,Delhi,Mumbai,"Home Appliances",AC,HP,Customer_44017,2,56879,53623,57028,UPI
129,ORD0005729,2026-06-12,North,Delhi,Mumbai,"Home Appliances",Mobile,Sony,Customer_41102,3,73374,18353,13912,Cash
130,ORD0005730,2026-05-09,East,Maharashtra,"New Delhi",Electronics,AC,HP,Customer_43764,4,34574,52562,49280,Card
131,ORD0005731,2026-01-24,North,Telangana,Pune,"Office Devices",Mobile,Samsung,Customer_24726,2,93883,61408,2952,Card
132,ORD0005732,2026-01-25,South,Telangana,Mumbai,Accessories,"Power Bank",Apple,Customer_12837,3,20358,36453,19000,UPI
133,ORD0005733,2026-06-23,East,Telangana,Mumbai,Accessories,AC,Samsung,Customer_30989,2,76587,50802,42878,Cash
134,ORD0005734,2026-03-24,North,Telangana,Mumbai,Electronics,Printer,Apple,Customer_41231,1,93089,35134,39259,Card
135,ORD0005735,2026-06-06,West,Karnataka,Bangalore,"Office Devices","Power Bank",HP,Customer_37197,3,30301,28647,60726,Cash
136,ORD0005736,2026-03-01,North,Maharashtra,Bangalore,Electronics,Tablet,Apple,Customer_42536,4,92001,40726,-15461,Cash
137,ORD0005737,2026-06-05,North,Telangana,Hyderabad,Accessories,Laptop,Sony,Customer_29902,1,71047,70867,9507,Card
138,ORD0005738,2026-06-25,East,Karnataka,Warangal,Accessories,Earbuds,HP,Customer_12016,3,53175,62522,50024,UPI
139,ORD0005739,2026-05-16,South,Maharashtra,Hyderabad,"Office Devices",Mobile,Apple,Customer_7297,2,52780,71410,10472,Cash
140,ORD0005740,2026-05-16,East,Karnataka,Pune,Accessories,Earbuds,Samsung,Customer_45402,4,55327,33511,12611,Cash
141,ORD0005741,2026-03-01,South,Delhi,Pune,"Home Appliances","Power Bank",Samsung,Customer_9309,3,93528,21537,31377,UPI
142,ORD0005742,2026-04-21,South,Telangana,Warangal,Electronics,AC,Samsung,Customer_30800,1,28336,71980,20071,Card
143,ORD0005743,2026-05-10,West,Maharashtra,"New Delhi","Office Devices","Smart TV",Samsung,Customer_40675,4,26899,33910,-8041,Cash
144,ORD0005744,2026-02-28,East,Karnataka,Pune,"Home Appliances",Printer,Sony,Customer_37336,2,93916,70276,47228,Card
145,ORD0005745,2026-03-28,East,Karnataka,"New Delhi",Accessories,Laptop,Apple,Customer_21946,4,48197,48646,61715,Cash
146,ORD0005746,2026-06-12,North,Maharashtra,Bangalore,"Home Appliances",AC,Sony,Customer_49646,4,24782,43545,-13247,Cash
147,ORD0005747,2026-04-09,East,Karnataka,Pune,"Office Devices",Mobile,Apple,Customer_35870,2,79091,48520,38526,Cash
148,ORD0005748,2026-06-27,East,Delhi,Hyderabad,Electronics,Mobile,Sony,Customer_34343,4,92619,24462,-40980,Cash
149,ORD0005749,2026-05-24,East,Karnataka,Warangal,Electronics,Printer,Apple,Customer_27027,4,57405,44057,-31955,Cash
150,ORD0005750,2026-05-28,West,Delhi,Hyderabad,"Home Appliances",Mobile,Apple,Customer_36758,3,35171,45668,59913,Cash
151,ORD0005751,2026-01-02,East,Maharashtra,Hyderabad,"Home Appliances",AC,Apple,Customer_19581,4,55650,18352,47713,UPI
152,ORD0005752,2026-06-02,West,Telangana,Mumbai,Electronics,"Smart TV",Sony,Customer_7039,1,85114,70671,8569,Card
153,ORD0005753,2026-04-04,North,Telangana,Mumbai,"Home Appliances",Earbuds,Samsung,Customer_20761,5,33840,27830,42456,UPI
154,ORD0005754,2026-01-28,South,Delhi,Bangalore,"Home Appliances",Earbuds,HP,Customer_5276,5,59002,48309,-23982,Card
155,ORD0005755,2026-01-22,East,Telangana,Warangal,Electronics,Printer,HP,Customer_10299,5,77891,15793,50432,Card
156,ORD0005756,2026-02-01,North,Karnataka,"New Delhi",Accessories,Tablet,HP,Customer_33323,1,98080,32688,-2052,Card
157,ORD0005757,2026-03-16,North,Telangana,Bangalore,Electronics,Earbuds,Samsung,Customer_3091,1,75207,70508,49342,Card
158,ORD0005758,2026-05-07,North,Karnataka,Hyderabad,"Office Devices",Earbuds,Samsung,Customer_42320,2,39121,22687,64874,Card
159,ORD0005759,2026-02-21,South,Karnataka,"New Delhi",Electronics,Laptop,Apple,Customer_31117,3,97525,23620,32407,UPI
160,ORD0005760,2026-04-14,East,Karnataka,Bangalore,Accessories,Tablet,Apple,Customer_26030,2,54958,74135,46660,UPI
161,ORD0005761,2026-04-13,North,Maharashtra,Warangal,Electronics,"Power Bank",HP,Customer_35598,5,78505,59174,30321,UPI
162,ORD0005762,2026-05-07,North,Karnataka,Warangal,"Home Appliances",Mobile,Samsung,Customer_41945,2,37848,19297,46348,Cash
163,ORD0005763,2026-05-09,North,Karnataka,Mumbai,"Home Appliances",AC,HP,Customer_21195,2,95527,74459,-23609,UPI
164,ORD0005764,2026-02-14,West,Delhi,Pune,"Office Devices",Printer,Apple,Customer_33451,4,83381,55902,725,Card
165,ORD0005765,2026-01-05,West,Karnataka,Warangal,"Home Appliances",AC,Sony,Customer_7863,3,24357,60394,4901,Cash
166,ORD0005766,2026-06-14,West,Delhi,Pune,"Home Appliances",Laptop,Samsung,Customer_6420,5,69225,55574,8968,Card
167,ORD0005767,2026-02-09,South,Karnataka,Warangal,"Home Appliances",Laptop,Sony,Customer_5570,5,30924,15017,-5144,Cash
168,ORD0005768,2026-02-06,East,Telangana,Bangalore,Electronics,Earbuds,Samsung,Customer_13099,1,50203,62376,27737,Cash
169,ORD0005769,2026-03-05,North,Karnataka,Hyderabad,Accessories,Earbuds,HP,Customer_32304,2,63250,63950,-8748,UPI
170,ORD0005770,2026-04-18,West,Delhi,Bangalore,"Office Devices",AC,Sony,Customer_17763,2,57632,40817,39594,UPI
171,ORD0005771,2026-06-16,South,Delhi,Hyderabad,"Office Devices","Power Bank",Apple,Customer_14272,2,33893,30019,9323,Cash
172,ORD0005772,2026-06-09,North,Maharashtra,Bangalore,"Office Devices",Printer,HP,Customer_24336,3,56004,45246,-1746,Cash
173,ORD0005773,2026-06-14,South,Karnataka,Pune,Electronics,AC,Samsung,Customer_8031,3,27385,70022,-17756,Cash
174,ORD0005774,2026-05-18,West,Karnataka,"New Delhi",Accessories,"Power Bank",Samsung,Customer_15091,4,81852,54518,29343,Card
175,ORD0005775,2026-01-06,West,Maharashtra,Hyderabad,Electronics,Printer,Apple,Customer_47735,3,57910,72994,28507,Card
176,ORD0005776,2026-02-19,West,Delhi,Warangal,Electronics,AC,Apple,Customer_6780,1,46110,26519,63780,UPI
177,ORD0005777,2026-04-02,North,Maharashtra,Warangal,"Office Devices",AC,HP,Customer_41161,5,38528,35235,27580,UPI
178,ORD0005778,2026-06-17,North,Telangana,"New Delhi",Accessories,Earbuds,HP,Customer_45137,2,91868,46670,72304,UPI
179,ORD0005779,2026-06-03,West,Delhi,Warangal,Electronics,"Power Bank",HP,Customer_48276,1,51007,61049,54725,Cash
180,ORD0005780,2026-03-20,South,Maharashtra,"New Delhi","Office Devices",Earbuds,HP,Customer_41777,1,27596,21829,22956,Card
181,ORD0005781,2026-03-30,East,Maharashtra,Pune,"Office Devices",Printer,HP,Customer_22246,3,79970,44849,-17938,UPI
182,ORD0005782,2026-05-30,East,Karnataka,Warangal,Accessories,AC,HP,Customer_14027,3,90649,61842,-30401,UPI
183,ORD0005783,2026-04-23,North,Karnataka,Hyderabad,"Office Devices",Printer,Sony,Customer_24851,1,88398,19033,27436,UPI
184,ORD0005784,2026-05-29,North,Delhi,Mumbai,Accessories,Printer,Apple,Customer_43566,1,86917,69724,-22035,Card
185,ORD0005785,2026-04-26,East,Maharashtra,Hyderabad,"Home Appliances",Mobile,HP,Customer_5574,3,87837,70824,-31313,Card
186,ORD0005786,2026-06-05,South,Maharashtra,Bangalore,Electronics,Printer,Sony,Customer_39206,2,51971,71819,-2472,Card
187,ORD0005787,2026-03-18,North,Karnataka,Mumbai,Accessories,AC,HP,Customer_11851,2,74740,50042,39288,Cash
188,ORD0005788,2026-06-05,North,Telangana,Mumbai,Electronics,"Smart TV",Samsung,Customer_41589,5,47962,65442,2243,UPI
189,ORD0005789,2026-02-11,East,Telangana,Mumbai,Accessories,"Power Bank",Samsung,Customer_28910,5,98387,19231,-13184,Cash
190,ORD0005790,2026-04-16,East,Karnataka,Warangal,Electronics,Earbuds,HP,Customer_36236,3,68956,38285,-8149,Card
191,ORD0005791,2026-02-27,South,Delhi,"New Delhi",Accessories,"Smart TV",Apple,Customer_21673,4,36829,71721,-25894,UPI
192,ORD0005792,2026-05-06,West,Maharashtra,Mumbai,Accessories,AC,Samsung,Customer_14280,1,99306,41863,-32628,Cash
193,ORD0005793,2026-04-17,West,Karnataka,Hyderabad,Electronics,Tablet,Apple,Customer_39823,4,71584,39210,-662,UPI
194,ORD0005794,2026-02-18,South,Telangana,Bangalore,Electronics,Earbuds,Samsung,Customer_5266,2,50530,68375,-21547,Cash
195,ORD0005795,2026-01-14,North,Delhi,Hyderabad,"Home Appliances","Power Bank",Apple,Customer_40313,1,73395,32127,22884,Cash
196,ORD0005796,2026-04-07,North,Maharashtra,Bangalore,Electronics,Tablet,Samsung,Customer_26790,2,59874,64716,11647,UPI
197,ORD0005797,2026-06-02,East,Karnataka,Bangalore,Accessories,Mobile,Sony,Customer_34455,5,30778,24145,13695,Card
198,ORD0005798,2026-06-19,East,Delhi,"New Delhi","Home Appliances",Earbuds,Sony,Customer_12105,4,33860,46589,-45032,Card
199,ORD0005799,2026-06-23,South,Karnataka,Warangal,Electronics,Printer,Sony,Customer_3711,4,93247,56700,29879,Card
200,ORD0005800,2026-02-26,East,Delhi,Pune,Electronics,Printer,Sony,Customer_40781,3,74949,24244,56583,Cash
201,ORD0005801,2026-02-16,North,Telangana,Pune,"Home Appliances",Printer,Samsung,Customer_14639,3,71143,56153,15921,UPI
202,ORD0005802,2026-02-28,West,Maharashtra,Mumbai,"Office Devices",AC,Samsung,Customer_12444,5,82787,27319,14099,UPI
203,ORD0005803,2026-02-23,North,Delhi,Pune,Accessories,"Smart TV",Samsung,Customer_28459,4,97244,52433,8286,Card
204,ORD0005804,2026-06-27,North,Maharashtra,Hyderabad,"Home Appliances","Power Bank",Samsung,Customer_9769,4,26721,28077,39924,Cash
205,ORD0005805,2026-02-06,West,Telangana,Pune,"Office Devices",Laptop,Samsung,Customer_49746,1,91209,70540,80864,Cash
206,ORD0005806,2026-06-14,East,Karnataka,Bangalore,"Home Appliances",Laptop,HP,Customer_43356,3,90172,68920,37138,Card
207,ORD0005807,2026-04-13,North,Karnataka,Mumbai,"Office Devices",Mobile,Apple,Customer_21703,4,99432,74248,31838,Cash
